Choice,Emb,Cycle,session,Subjectid
1,1,1,2,41
0,1,1,2,42
0,1,1,2,43
1,1,1,2,44
1,1,1,2,45
1,1,1,2,46
0,1,1,2,47
0,1,1,2,48
0,1,1,2,49
0,1,1,2,50
1,1,1,2,51
0,1,1,2,52
1,1,1,2,53
1,1,1,2,54
0,1,1,2,55
1,1,1,2,56
1,1,1,2,57
1,1,1,2,58
1,1,1,2,59
1,1,1,2,60
0,1,2,2,41
1,1,2,2,42
0,1,2,2,43
1,1,2,2,44
1,1,2,2,45
1,1,2,2,46
1,1,2,2,47
1,1,2,2,48
1,1,2,2,49
0,1,2,2,50
1,1,2,2,51
1,1,2,2,52
0,1,2,2,53
1,1,2,2,54
1,1,2,2,55
1,1,2,2,56
1,1,2,2,57
1,1,2,2,58
1,1,2,2,59
1,1,2,2,60
1,1,3,2,41
1,1,3,2,42
1,1,3,2,43
1,1,3,2,44
1,1,3,2,45
1,1,3,2,46
1,1,3,2,47
1,1,3,2,48
1,1,3,2,49
0,1,3,2,50
1,1,3,2,51
1,1,3,2,52
1,1,3,2,53
1,1,3,2,54
1,1,3,2,55
1,1,3,2,56
1,1,3,2,57
1,1,3,2,58
1,1,3,2,59
1,1,3,2,60
1,1,4,2,41
1,1,4,2,42
1,1,4,2,43
1,1,4,2,44
1,1,4,2,45
1,1,4,2,46
1,1,4,2,47
1,1,4,2,48
1,1,4,2,49
0,1,4,2,50
1,1,4,2,51
1,1,4,2,52
0,1,4,2,53
1,1,4,2,54
1,1,4,2,55
1,1,4,2,56
1,1,4,2,57
1,1,4,2,58
1,1,4,2,59
1,1,4,2,60
1,1,5,2,41
1,1,5,2,42
1,1,5,2,43
1,1,5,2,44
1,1,5,2,45
1,1,5,2,46
1,1,5,2,47
1,1,5,2,48
1,1,5,2,49
1,1,5,2,50
1,1,5,2,51
1,1,5,2,52
1,1,5,2,53
1,1,5,2,54
1,1,5,2,55
1,1,5,2,56
1,1,5,2,57
1,1,5,2,58
1,1,5,2,59
1,1,5,2,60
0,0,1,3,77
0,0,1,3,78
1,0,1,3,79
1,0,1,3,80
1,0,1,3,81
1,0,1,3,82
1,0,1,3,83
0,0,1,3,84
1,0,1,3,85
1,0,1,3,86
0,0,1,3,87
1,0,1,3,88
0,0,1,3,89
1,0,1,3,90
0,0,1,3,91
0,0,1,3,92
0,0,2,3,77
0,0,2,3,78
1,0,2,3,79
1,0,2,3,80
1,0,2,3,81
0,0,2,3,82
1,0,2,3,83
0,0,2,3,84
1,0,2,3,85
1,0,2,3,86
0,0,2,3,87
1,0,2,3,88
0,0,2,3,89
1,0,2,3,90
0,0,2,3,91
1,0,2,3,92
1,0,3,3,77
0,0,3,3,78
1,0,3,3,79
1,0,3,3,80
0,0,3,3,81
0,0,3,3,82
1,0,3,3,83
1,0,3,3,84
1,0,3,3,85
1,0,3,3,86
0,0,3,3,87
1,0,3,3,88
1,0,3,3,89
1,0,3,3,90
0,0,3,3,91
1,0,3,3,92
1,0,4,3,77
0,0,4,3,78
1,0,4,3,79
1,0,4,3,80
0,0,4,3,81
0,0,4,3,82
1,0,4,3,83
1,0,4,3,84
1,0,4,3,85
1,0,4,3,86
0,0,4,3,87
1,0,4,3,88
1,0,4,3,89
1,0,4,3,90
0,0,4,3,91
1,0,4,3,92
1,0,5,3,77
1,0,5,3,78
1,0,5,3,79
1,0,5,3,80
1,0,5,3,81
0,0,5,3,82
1,0,5,3,83
1,0,5,3,84
1,0,5,3,85
1,0,5,3,86
0,0,5,3,87
1,0,5,3,88
1,0,5,3,89
1,0,5,3,90
0,0,5,3,91
1,0,5,3,92
0,1,1,5,61
1,1,1,5,62
1,1,1,5,63
0,1,1,5,64
1,1,1,5,65
1,1,1,5,66
0,1,1,5,67
1,1,1,5,68
1,1,1,5,69
1,1,1,5,70
0,1,1,5,71
1,1,1,5,72
0,1,1,5,73
1,1,1,5,74
1,1,1,5,75
1,1,1,5,76
0,1,2,5,61
1,1,2,5,62
1,1,2,5,63
1,1,2,5,64
1,1,2,5,65
1,1,2,5,66
0,1,2,5,67
0,1,2,5,68
1,1,2,5,69
1,1,2,5,70
0,1,2,5,71
1,1,2,5,72
0,1,2,5,73
1,1,2,5,74
1,1,2,5,75
1,1,2,5,76
1,1,3,5,61
1,1,3,5,62
1,1,3,5,63
1,1,3,5,64
1,1,3,5,65
1,1,3,5,66
0,1,3,5,67
0,1,3,5,68
1,1,3,5,69
1,1,3,5,70
1,1,3,5,71
1,1,3,5,72
0,1,3,5,73
1,1,3,5,74
1,1,3,5,75
1,1,3,5,76
1,1,4,5,61
1,1,4,5,62
1,1,4,5,63
1,1,4,5,64
1,1,4,5,65
1,1,4,5,66
0,1,4,5,67
0,1,4,5,68
1,1,4,5,69
1,1,4,5,70
1,1,4,5,71
1,1,4,5,72
0,1,4,5,73
1,1,4,5,74
1,1,4,5,75
1,1,4,5,76
0,1,5,5,61
1,1,5,5,62
1,1,5,5,63
1,1,5,5,64
1,1,5,5,65
1,1,5,5,66
0,1,5,5,67
0,1,5,5,68
1,1,5,5,69
1,1,5,5,70
0,1,5,5,71
1,1,5,5,72
0,1,5,5,73
1,1,5,5,74
1,1,5,5,75
1,1,5,5,76
0,0,1,6,93
1,0,1,6,94
0,0,1,6,95
1,0,1,6,96
1,0,1,6,97
1,0,1,6,98
1,0,1,6,99
0,0,1,6,100
1,0,1,6,101
1,0,1,6,102
1,0,1,6,103
0,0,1,6,104
0,0,1,6,105
1,0,1,6,106
1,0,1,6,107
0,0,1,6,108
1,0,2,6,93
1,0,2,6,94
1,0,2,6,95
1,0,2,6,96
1,0,2,6,97
1,0,2,6,98
1,0,2,6,99
0,0,2,6,100
1,0,2,6,101
1,0,2,6,102
1,0,2,6,103
0,0,2,6,104
1,0,2,6,105
1,0,2,6,106
1,0,2,6,107
0,0,2,6,108
1,0,3,6,93
1,0,3,6,94
1,0,3,6,95
1,0,3,6,96
1,0,3,6,97
1,0,3,6,98
1,0,3,6,99
0,0,3,6,100
1,0,3,6,101
1,0,3,6,102
0,0,3,6,103
0,0,3,6,104
1,0,3,6,105
1,0,3,6,106
1,0,3,6,107
0,0,3,6,108
1,0,4,6,93
1,0,4,6,94
1,0,4,6,95
1,0,4,6,96
1,0,4,6,97
1,0,4,6,98
1,0,4,6,99
0,0,4,6,100
1,0,4,6,101
1,0,4,6,102
0,0,4,6,103
0,0,4,6,104
1,0,4,6,105
1,0,4,6,106
1,0,4,6,107
0,0,4,6,108
1,0,5,6,93
1,0,5,6,94
1,0,5,6,95
1,0,5,6,96
1,0,5,6,97
1,0,5,6,98
1,0,5,6,99
0,0,5,6,100
1,0,5,6,101
1,0,5,6,102
1,0,5,6,103
0,0,5,6,104
1,0,5,6,105
1,0,5,6,106
1,0,5,6,107
0,0,5,6,108
