Tr,Tr2game,ChoiceA1,ChoiceB1,session,person_id,network,game1round1
2,NA,1,1,6,99,0,0
0,0,0,2,6,100,0,0
0,0,1,1,6,101,0,0
1,NA,1,1,6,102,0,0
1,NA,1,1,6,85,1,0
0,0,1,1,6,86,1,0
2,NA,1,1,6,87,1,0
0,0,1,1,6,88,1,0
1,NA,1,1,6,89,1,0
2,NA,1,1,6,90,1,0
2,NA,0,2,6,91,1,0
0,0,1,1,6,92,1,0
2,NA,1,1,6,93,1,0
0,0,0,2,6,94,1,0
2,NA,1,1,6,95,1,0
1,NA,0,2,6,96,1,0
1,NA,1,1,6,97,1,0
0,0,1,1,6,98,1,0
0,0,1,1,6,99,1,0
1,NA,1,1,6,100,1,0
1,NA,1,1,6,101,1,0
2,NA,1,1,6,102,1,0
2,NA,1,0,6,85,1,0
1,NA,1,0,6,86,1,0
0,0,1,0,6,87,1,0
1,NA,1,1,6,88,1,0
2,NA,1,1,6,89,1,0
0,0,1,0,6,90,1,0
0,0,1,1,6,91,1,0
1,NA,1,1,6,92,1,0
0,0,1,1,6,93,1,0
1,NA,1,0,6,94,1,0
0,0,1,1,6,95,1,0
2,NA,1,1,6,96,1,0
2,NA,1,1,6,97,1,0
1,NA,1,1,6,98,1,0
1,NA,1,1,6,99,1,0
2,NA,1,1,6,100,1,0
2,NA,1,0,6,101,1,0
0,0,1,1,6,102,1,0
0,0,1,1,6,85,1,0
2,NA,1,1,6,86,1,0
1,NA,1,1,6,87,1,0
2,NA,1,1,6,88,1,0
0,0,1,1,6,89,1,0
1,NA,0,2,6,90,1,0
1,NA,1,1,6,91,1,0
2,NA,0,2,6,92,1,0
1,NA,1,1,6,93,1,0
2,NA,1,1,6,94,1,0
1,NA,1,1,6,95,1,0
0,0,1,1,6,96,1,0
0,0,1,1,6,97,1,0
2,NA,1,1,6,98,1,0
2,NA,1,1,6,99,1,0
0,0,1,1,6,100,1,0
0,0,0,2,6,101,1,0
1,NA,1,1,6,102,1,0
2,NA,1,1,7,103,1,1
2,NA,1,0,7,104,1,1
2,NA,1,1,7,105,1,1
2,NA,1,1,7,106,1,1
0,0,1,0,7,107,1,1
1,NA,1,1,7,108,1,1
0,0,1,1,7,109,1,1
2,NA,1,1,7,110,1,1
1,NA,1,1,7,111,1,1
0,0,1,1,7,112,1,1
0,0,1,1,7,113,1,1
1,NA,1,1,7,114,1,1
0,0,1,1,7,115,1,1
1,NA,1,1,7,116,1,1
1,NA,1,0,7,117,1,1
2,NA,1,1,7,118,1,1
0,0,1,1,7,119,1,1
1,NA,1,1,7,120,1,1
0,0,1,1,7,103,1,0
0,0,1,1,7,104,1,0
0,0,1,1,7,105,1,0
0,0,1,1,7,106,1,0
1,NA,1,1,7,107,1,0
2,NA,1,1,7,108,1,0
1,NA,1,1,7,109,1,0
0,0,1,1,7,110,1,0
2,NA,1,1,7,111,1,0
1,NA,1,1,7,112,1,0
1,NA,1,1,7,113,1,0
2,NA,1,1,7,114,1,0
1,NA,1,1,7,115,1,0
2,NA,1,1,7,116,1,0
2,NA,1,1,7,117,1,0
0,0,1,1,7,118,1,0
1,NA,1,1,7,119,1,0
2,NA,1,1,7,120,1,0
1,NA,1,1,7,103,1,0
1,NA,1,1,7,104,1,0
1,NA,1,1,7,105,1,0
1,NA,1,1,7,106,1,0
2,NA,1,1,7,107,1,0
0,0,1,1,7,108,1,0
2,NA,1,1,7,109,1,0
1,NA,1,1,7,110,1,0
0,0,1,1,7,111,1,0
2,NA,1,1,7,112,1,0
2,NA,1,1,7,113,1,0
0,0,1,1,7,114,1,0
2,NA,1,1,7,115,1,0
0,0,1,1,7,116,1,0
0,0,1,1,7,117,1,0
1,NA,1,1,7,118,1,0
2,NA,1,1,7,119,1,0
0,0,1,1,7,120,1,0
2,NA,1,1,7,103,1,0
2,NA,1,1,7,104,1,0
2,NA,1,1,7,105,1,0
2,NA,1,1,7,106,1,0
0,0,1,1,7,107,1,0
1,NA,1,1,7,108,1,0
0,0,1,1,7,109,1,0
2,NA,1,1,7,110,1,0
1,NA,1,1,7,111,1,0
0,0,1,1,7,112,1,0
0,0,1,1,7,113,1,0
1,NA,1,1,7,114,1,0
0,0,1,1,7,115,1,0
1,NA,1,1,7,116,1,0
1,NA,1,1,7,117,1,0
2,NA,1,1,7,118,1,0
0,0,1,1,7,119,1,0
1,NA,1,1,7,120,1,0
0,0,1,1,7,103,1,0
0,0,1,1,7,104,1,0
0,0,1,1,7,105,1,0
0,0,1,1,7,106,1,0
1,NA,1,1,7,107,1,0
2,NA,1,1,7,108,1,0
1,NA,1,1,7,109,1,0
0,0,1,1,7,110,1,0
2,NA,1,1,7,111,1,0
1,NA,1,1,7,112,1,0
1,NA,1,1,7,113,1,0
2,NA,1,1,7,114,1,0
1,NA,1,1,7,115,1,0
2,NA,1,1,7,116,1,0
2,NA,1,1,7,117,1,0
0,0,1,1,7,118,1,0
1,NA,1,1,7,119,1,0
2,NA,1,1,7,120,1,0
1,NA,1,1,7,103,1,0
1,NA,1,1,7,104,1,0
1,NA,1,1,7,105,1,0
1,NA,1,1,7,106,1,0
2,NA,1,1,7,107,1,0
0,0,1,1,7,108,1,0
2,NA,1,1,7,109,1,0
1,NA,1,1,7,110,1,0
0,0,1,1,7,111,1,0
2,NA,1,1,7,112,1,0
2,NA,1,1,7,113,1,0
0,0,1,1,7,114,1,0
2,NA,1,1,7,115,1,0
0,0,1,1,7,116,1,0
0,0,1,1,7,117,1,0
1,NA,1,1,7,118,1,0
2,NA,1,1,7,119,1,0
0,0,1,1,7,120,1,0
2,NA,1,0,8,121,1,1
0,0,1,1,8,122,1,1
1,NA,0,2,8,123,1,1
0,0,0,2,8,124,1,1
0,0,1,0,8,125,1,1
1,NA,1,1,8,126,1,1
2,NA,0,2,8,127,1,1
0,0,0,2,8,128,1,1
1,NA,1,0,8,129,1,1
0,0,1,0,8,130,1,1
1,NA,0,2,8,131,1,1
2,NA,1,1,8,132,1,1
0,0,1,1,8,133,1,1
2,NA,1,0,8,134,1,1
1,NA,1,0,8,135,1,1
2,NA,1,1,8,136,1,1
2,NA,0,2,8,137,1,1
1,NA,1,1,8,138,1,1
0,0,0,2,8,121,1,0
1,NA,0,2,8,122,1,0
2,NA,0,2,8,123,1,0
1,NA,1,1,8,124,1,0
1,NA,1,0,8,125,1,0
2,NA,0,2,8,126,1,0
0,0,1,1,8,127,1,0
1,NA,0,2,8,128,1,0
2,NA,1,1,8,129,1,0
1,NA,0,2,8,130,1,0
2,NA,0,2,8,131,1,0
0,0,1,1,8,132,1,0
1,NA,1,1,8,133,1,0
0,0,0,2,8,134,1,0
2,NA,1,1,8,135,1,0
0,0,1,0,8,136,1,0
0,0,0,2,8,137,1,0
2,NA,1,0,8,138,1,0
1,NA,1,1,8,121,1,0
2,NA,1,1,8,122,1,0
0,0,1,1,8,123,1,0
2,NA,1,1,8,124,1,0
2,NA,1,1,8,125,1,0
0,0,1,1,8,126,1,0
1,NA,1,1,8,127,1,0
2,NA,1,1,8,128,1,0
0,0,1,1,8,129,1,0
2,NA,1,1,8,130,1,0
0,0,1,1,8,131,1,0
1,NA,1,1,8,132,1,0
2,NA,1,1,8,133,1,0
1,NA,1,1,8,134,1,0
0,0,1,1,8,135,1,0
1,NA,1,1,8,136,1,0
1,NA,1,1,8,137,1,0
0,0,1,1,8,138,1,0
2,NA,1,0,8,121,1,0
0,0,1,0,8,122,1,0
1,NA,1,1,8,123,1,0
0,0,1,1,8,124,1,0
0,0,1,0,8,125,1,0
1,NA,1,0,8,126,1,0
2,NA,0,2,8,127,1,0
0,0,0,2,8,128,1,0
1,NA,1,1,8,129,1,0
0,0,1,1,8,130,1,0
1,NA,0,2,8,131,1,0
2,NA,1,1,8,132,1,0
0,0,1,1,8,133,1,0
2,NA,1,1,8,134,1,0
1,NA,1,0,8,135,1,0
2,NA,1,0,8,136,1,0
2,NA,1,1,8,137,1,0
1,NA,1,1,8,138,1,0
0,0,1,1,8,121,1,0
1,NA,1,1,8,122,1,0
2,NA,1,1,8,123,1,0
1,NA,1,1,8,124,1,0
1,NA,0,2,8,125,1,0
2,NA,1,1,8,126,1,0
0,0,1,1,8,127,1,0
1,NA,1,1,8,128,1,0
2,NA,1,1,8,129,1,0
1,NA,1,1,8,130,1,0
2,NA,1,1,8,131,1,0
0,0,1,1,8,132,1,0
1,NA,1,1,8,133,1,0
0,0,0,2,8,134,1,0
2,NA,1,1,8,135,1,0
0,0,1,1,8,136,1,0
0,0,1,1,8,137,1,0
2,NA,0,2,8,138,1,0
1,NA,1,1,8,121,1,0
2,NA,1,1,8,122,1,0
0,0,1,1,8,123,1,0
2,NA,1,1,8,124,1,0
2,NA,1,1,8,125,1,0
0,0,1,1,8,126,1,0
1,NA,1,1,8,127,1,0
2,NA,1,1,8,128,1,0
0,0,1,1,8,129,1,0
2,NA,1,1,8,130,1,0
0,0,1,1,8,131,1,0
1,NA,1,1,8,132,1,0
2,NA,1,1,8,133,1,0
1,NA,1,1,8,134,1,0
0,0,1,1,8,135,1,0
1,NA,1,1,8,136,1,0
1,NA,1,1,8,137,1,0
0,0,1,1,8,138,1,0
0,1,1,1,1,1,1,1
0,1,1,1,1,3,1,1
0,1,1,1,1,6,1,1
0,1,0,2,1,8,1,1
0,1,1,1,1,11,1,1
0,1,0,2,1,17,1,1
0,1,0,2,1,2,1,0
0,1,1,1,1,5,1,0
0,1,1,1,1,7,1,0
0,1,0,2,1,12,1,0
0,1,1,1,1,14,1,0
0,1,1,0,1,15,1,0
0,1,1,1,1,4,1,0
0,1,1,1,1,9,1,0
0,1,1,0,1,10,1,0
0,1,1,1,1,13,1,0
0,1,1,1,1,16,1,0
0,1,1,1,1,18,1,0
0,1,0,2,1,1,0,0
0,1,1,1,1,3,0,0
0,1,1,1,1,6,0,0
0,1,1,1,1,8,0,0
0,1,1,1,1,11,0,0
0,1,1,1,1,17,0,0
0,1,1,1,1,2,0,0
0,1,1,1,1,5,0,0
0,1,1,1,1,7,0,0
0,1,1,1,1,12,0,0
0,1,1,1,1,14,0,0
0,1,1,1,1,15,0,0
0,1,1,1,1,4,0,0
0,1,1,1,1,9,0,0
0,1,1,0,1,10,0,0
0,1,1,1,1,13,0,0
0,1,1,1,1,16,0,0
0,1,1,1,1,18,0,0
0,1,0,2,2,20,0,1
0,1,1,1,2,25,0,1
0,1,1,0,2,27,0,1
0,1,1,1,2,28,0,1
0,1,1,0,2,30,0,1
0,1,1,1,2,21,0,0
0,1,0,2,2,22,0,0
0,1,1,1,2,26,0,0
0,1,1,1,2,29,0,0
0,1,1,1,2,32,0,0
0,1,1,1,2,19,0,0
0,1,1,1,2,23,0,0
0,1,1,1,2,24,0,0
0,1,1,1,2,31,0,0
0,1,1,1,2,33,0,0
0,1,1,1,2,20,0,0
0,1,1,1,2,25,0,0
0,1,1,0,2,27,0,0
0,1,1,1,2,28,0,0
0,1,1,1,2,30,0,0
0,1,1,1,2,21,0,0
0,1,1,1,2,22,0,0
0,1,1,1,2,26,0,0
0,1,1,1,2,29,0,0
0,1,0,2,2,32,0,0
0,1,1,1,2,19,0,0
0,1,1,1,2,23,0,0
0,1,1,1,2,24,0,0
0,1,1,1,2,31,0,0
0,1,1,1,2,33,0,0
0,1,0,2,3,35,0,1
0,1,1,1,3,36,0,1
0,1,1,1,3,38,0,1
0,1,0,2,3,41,0,1
0,1,0,2,3,48,0,1
0,1,1,1,3,39,0,0
0,1,1,1,3,43,0,0
0,1,1,1,3,45,0,0
0,1,1,1,3,46,0,0
0,1,1,1,3,47,0,0
0,1,1,1,3,34,0,0
0,1,1,1,3,37,0,0
0,1,1,1,3,40,0,0
0,1,1,1,3,42,0,0
0,1,1,1,3,44,0,0
0,1,1,1,3,35,0,0
0,1,1,1,3,36,0,0
0,1,1,1,3,38,0,0
0,1,1,1,3,41,0,0
0,1,1,1,3,48,0,0
0,1,1,1,3,39,0,0
0,1,1,1,3,43,0,0
0,1,1,1,3,45,0,0
0,1,1,0,3,46,0,0
0,1,1,1,3,47,0,0
0,1,1,1,3,34,0,0
0,1,1,1,3,37,0,0
0,1,1,1,3,40,0,0
0,1,1,1,3,42,0,0
0,1,1,1,3,44,0,0
0,1,1,1,4,50,1,1
0,1,1,1,4,53,1,1
0,1,1,1,4,56,1,1
0,1,1,1,4,59,1,1
0,1,0,2,4,62,1,1
0,1,0,2,4,63,1,1
0,1,1,1,4,52,1,0
0,1,1,1,4,55,1,0
0,1,1,1,4,57,1,0
0,1,1,1,4,58,1,0
0,1,1,1,4,64,1,0
0,1,1,0,4,66,1,0
0,1,1,1,4,49,1,0
0,1,1,1,4,51,1,0
0,1,1,1,4,54,1,0
0,1,1,1,4,60,1,0
0,1,1,1,4,61,1,0
0,1,0,2,4,65,1,0
0,1,1,1,4,50,0,0
0,1,1,1,4,53,0,0
0,1,1,1,4,56,0,0
0,1,1,1,4,59,0,0
0,1,1,1,4,62,0,0
0,1,1,1,4,63,0,0
0,1,1,1,4,52,0,0
0,1,1,1,4,55,0,0
0,1,1,1,4,57,0,0
0,1,1,1,4,58,0,0
0,1,1,1,4,64,0,0
0,1,1,1,4,66,0,0
0,1,1,1,4,49,0,0
0,1,0,2,4,51,0,0
0,1,1,1,4,54,0,0
0,1,1,1,4,60,0,0
0,1,1,1,4,61,0,0
0,1,1,1,4,65,0,0
0,1,1,1,5,67,0,1
0,1,1,1,5,69,0,1
0,1,1,0,5,72,0,1
0,1,1,1,5,74,0,1
0,1,1,1,5,77,0,1
0,1,1,1,5,79,0,1
0,1,0,2,5,75,0,0
0,1,1,1,5,76,0,0
0,1,1,1,5,80,0,0
0,1,1,1,5,81,0,0
0,1,1,1,5,82,0,0
0,1,1,0,5,84,0,0
0,1,1,1,5,68,0,0
0,1,1,0,5,70,0,0
0,1,1,1,5,71,0,0
0,1,1,1,5,73,0,0
0,1,1,1,5,78,0,0
0,1,1,1,5,83,0,0
0,1,1,1,5,67,1,0
0,1,1,1,5,69,1,0
0,1,1,1,5,72,1,0
0,1,1,1,5,74,1,0
0,1,1,1,5,77,1,0
0,1,1,1,5,79,1,0
0,1,1,1,5,75,1,0
0,1,1,1,5,76,1,0
0,1,1,1,5,80,1,0
0,1,1,1,5,81,1,0
0,1,1,1,5,82,1,0
0,1,1,0,5,84,1,0
0,1,1,1,5,68,1,0
0,1,1,1,5,70,1,0
0,1,1,1,5,71,1,0
0,1,1,1,5,73,1,0
0,1,0,2,5,78,1,0
0,1,1,1,5,83,1,0
0,1,1,0,6,86,0,1
0,1,0,2,6,88,0,1
0,1,1,1,6,92,0,1
0,1,0,2,6,94,0,1
0,1,1,0,6,98,0,1
0,1,1,1,6,99,0,1
0,1,1,1,6,87,0,0
0,1,1,0,6,90,0,0
0,1,1,1,6,91,0,0
0,1,1,1,6,93,0,0
0,1,1,1,6,95,0,0
0,1,0,2,6,102,0,0
0,1,1,1,6,85,0,0
0,1,1,1,6,89,0,0
0,1,1,0,6,96,0,0
0,1,1,1,6,97,0,0
0,1,0,2,6,100,0,0
0,1,1,1,6,101,0,0
0,1,1,1,6,86,1,0
0,1,1,1,6,88,1,0
0,1,1,1,6,92,1,0
0,1,0,2,6,94,1,0
0,1,1,1,6,98,1,0
0,1,1,1,6,99,1,0
0,1,1,0,6,87,1,0
0,1,1,0,6,90,1,0
0,1,1,1,6,91,1,0
0,1,1,1,6,93,1,0
0,1,1,1,6,95,1,0
0,1,1,1,6,102,1,0
0,1,1,1,6,85,1,0
0,1,1,1,6,89,1,0
0,1,1,1,6,96,1,0
0,1,1,1,6,97,1,0
0,1,1,1,6,100,1,0
0,1,0,2,6,101,1,0
0,1,1,0,7,107,1,1
0,1,1,1,7,109,1,1
0,1,1,1,7,112,1,1
0,1,1,1,7,113,1,1
0,1,1,1,7,115,1,1
0,1,1,1,7,119,1,1
0,1,1,1,7,103,1,0
0,1,1,1,7,104,1,0
0,1,1,1,7,105,1,0
0,1,1,1,7,106,1,0
0,1,1,1,7,110,1,0
0,1,1,1,7,118,1,0
0,1,1,1,7,108,1,0
0,1,1,1,7,111,1,0
0,1,1,1,7,114,1,0
0,1,1,1,7,116,1,0
0,1,1,1,7,117,1,0
0,1,1,1,7,120,1,0
0,1,1,1,7,107,1,0
0,1,1,1,7,109,1,0
0,1,1,1,7,112,1,0
0,1,1,1,7,113,1,0
0,1,1,1,7,115,1,0
0,1,1,1,7,119,1,0
0,1,1,1,7,103,1,0
0,1,1,1,7,104,1,0
0,1,1,1,7,105,1,0
0,1,1,1,7,106,1,0
0,1,1,1,7,110,1,0
0,1,1,1,7,118,1,0
0,1,1,1,7,108,1,0
0,1,1,1,7,111,1,0
0,1,1,1,7,114,1,0
0,1,1,1,7,116,1,0
0,1,1,1,7,117,1,0
0,1,1,1,7,120,1,0
0,1,1,1,8,122,1,1
0,1,0,2,8,124,1,1
0,1,1,0,8,125,1,1
0,1,0,2,8,128,1,1
0,1,1,0,8,130,1,1
0,1,1,1,8,133,1,1
0,1,0,2,8,121,1,0
0,1,1,1,8,127,1,0
0,1,1,1,8,132,1,0
0,1,0,2,8,134,1,0
0,1,1,0,8,136,1,0
0,1,0,2,8,137,1,0
0,1,1,1,8,123,1,0
0,1,1,1,8,126,1,0
0,1,1,1,8,129,1,0
0,1,1,1,8,131,1,0
0,1,1,1,8,135,1,0
0,1,1,1,8,138,1,0
0,1,1,0,8,122,1,0
0,1,1,1,8,124,1,0
0,1,1,0,8,125,1,0
0,1,0,2,8,128,1,0
0,1,1,1,8,130,1,0
0,1,1,1,8,133,1,0
0,1,1,1,8,121,1,0
0,1,1,1,8,127,1,0
0,1,1,1,8,132,1,0
0,1,0,2,8,134,1,0
0,1,1,1,8,136,1,0
0,1,1,1,8,137,1,0
0,1,1,1,8,123,1,0
0,1,1,1,8,126,1,0
0,1,1,1,8,129,1,0
0,1,1,1,8,131,1,0
0,1,1,1,8,135,1,0
0,1,1,1,8,138,1,0
